reviewId,content,score,at,replyContent
cad13d21-a3bb-4ea7-a75e-38b379c10b9b,불릴레오 곧 3년차 됩니다. 초반에는 괜찮아서 주위에 많이 권유했습니다. 가만히 보면 확실히 매수매도 타이밍은 기가막히게 잡는 듯 합니다. 다만 최근 1년 넘은 시나리오 중에서 미국 시장 수익을 상회하는 시나리오가 없는 건 알고 계시면 좋을 듯 합니다. 음.. 이제 하나 있군요!,5,2022-05-19 09:51:57,"안녕하세요. BN J님, 불릴레오입니다. 우선 만족스러운 성과를 드리지 못하여 죄송합니다. 보다 나은 성과를 드릴 수 있도록 노력하는 불릴레오가 되도록 노력하겠습니다. 한편 양도소득세에 관련한 내용은 불릴레오 블로그 https://blog.naver.com/boolileo/222300472381 해당 게시물을 참조해 주시기 바랍니다. 동일한 카테고리 내에 홈택스 신고 방법도 게재되어 있습니다. 감사합니다. 팀 불릴레오 드림."
a825aec2-f1e0-410a-87bf-89b25f4f1609,덕분에 투자세계에 입문을 매우 안정적으로 잘 한 것 같습니다. 다만 앱 내에서 알림을 통해 불릴레오 블로그(웹뷰)로 진입하면 초반에는 괜찮다가 점점 스크롤이 너무 느려집니다. 나중에는 거의 몇초씩 멈췄다가 뚝뚝 끊겨서 이동되요. 저만 이런건지 모르겠습니다. 기기는 노트9입니다. 추가:스크롤이 수정되서 훨씬 편하게 볼 수 있네요! 열일하는 불릴레오 감사합니당!,5,2021-04-26 14:08:56,"안녕하세요. 뚜랭님, 불릴레오입니다. 고객님의 소중한 의견 감사드립니다. 최고의 시나리오와 투자전략들을 통해 다양한 투자기회를 제공해드리도록 노력하겠습니다. 더불어 고객님의 투자가 성공적인 도전이 될 수 있도록 최선을 다해 서포트하는 불릴레오가 되도록 하겠습니다. 감사합니다. 팀 불릴레오 드림."
b1c60cca-aac9-4fee-b158-47cc1bba9f79,듀얼유심폰을 쓰는데 삼성 보안폴더 실행시 자동종료 버그가 있다고 문의했던 사람입니다. 앱로그인시 자동으로 사용중인 카톡연계 계정으로 시작되는데요. 카톡에 로그인 되어있어도 카톡 아이디를 직접 입력해서 로그인 할 수 있게 해주실수 있나요? 카톡 계정이 두개일때 불릴레오 연계된 계정에 접속하려면 이방법 외에는 없을것 같습니다.,3,2020-09-29 20:56:32,안녕하세요. Henry Lee님 불릴레오입니다. 현재는 디바이스에 연동되어 있는 카카오 계정을 바로 불러와 로그인이 진행되도록 설계 되어 있습니다. 다만 요청주신 부분은 유관부서를 통하여 향후 업데이트를 통하여 반영이 될 수 있도록 노력하겠습니다. 본의 아니게 다소 이용에 번거로움을 드리게 되어 죄송하며 보다 나은 서비스를 제공해드릴 수 있도록 노력하는 불릴레오가 되겠습니다. 감사합니다. 팀 불릴레오 드림.
ed29215c-5bbe-41ef-bffb-0703d782b47c,요번엔 프로그램에서 비번 입력하면 프로그램이 종료됩니다. 리밸런싱 하고 싶습니다 ㅠㅠ확인 되실 때까지 별점 1점 하겠습니다.,5,2022-05-18 10:39:01,"안녕하세요. 라이언 Ryan TV님, 불릴레오입니다. 별점 재조정을 해주셔서 대단히 감사드립니다. 항상 보다 나은 서비스로 보답드릴 수 있도록 노력하는 불릴레오가 되도록 하겠습니다. 감사합니다. 팀 불릴레오 드림."
bd6c0529-74a8-463e-8ba6-f7df300173a5,"좋은 앱 만들어주셔서 감사합니다. 가입시 추천인 할인쿠폰을 입력못했는데, 뒤늦게 유튜브를 보고 추천인 코드를 입력하려고 하니 방법이 없네요. 아무래도 이런 앱을 사용하시는 투자자들은 0.1%에도 민감한 유저들이 많을텐데 이 부분을 개선해주면 이탈하는 사용자들도 많이 잡을 수 있을거같습니다. 입력 타이밍을 놓쳐버린 저로써는 더 진행하기엔 왠지 다른 사용자에 비해 손해보는 느낌이네요 ㅎ 건승하세요",5,2020-07-12 05:19:57,안녕하세요. Seongcheol Choi님 불릴레오입니다. 귀한 의견 주셔서 감사드립니다. 추천인 코드를 입력하지 못하셨을 경우 현재는 앱 내 '문의하기' 메뉴를 통해 추천인 코드를 보내주시면 추후 입력을 도와드리고 있습니다. 향후 더욱 편리하게 이용하실 수 있도록 노력하겠으며 고객님의 투자가 성공적인 도전이 되도록 서포트하는 불릴레오가 되겠습니다. 감사합니다. 팀 불릴레오 드림.
514cb6f6-8bcd-43be-9045-9393bf6d2f4c,앱을 설치하려고 하는데 다운로드조차 안되네요? 핸드폰 사양에 제약이 있나요? 제 폰은 갤럭시 A 2016년도 버전이고 업데이트는 다 했습니다.확인 부탁드려요 죄송합니다. 제 플레이 스토어가 백그라운드로 다른 앱 업데이트가 블럭되어 있었네요. 중지하고 다운로드하니까 잘 설치되었습니다.,3,2020-08-30 12:46:10,안녕하세요. 반짝반짝님 불릴레오입니다. 설정 변경을 통해 해결되셨다니 다행입니다. 고객님의 투자가 성공적인 도전이 될 수 있도록 최선을 다해 서포트하는 불릴레오가 되도록 노력하겠습니다. 감사합니다. 팀 불릴레오 드림.
1bcfdf47-f6e5-48a2-a080-32e7809d79d8,투자는 만족스럽습니다. 다만 어플을 이용하면서 불편한 부분이있습니다. 불릴레오 블로그글을 띄우면 너무 버벅여 도저히 읽을 수 없는 수준입니다. 다른 브라우저로 열기 기능이 추가됐으면 좋겠습니다,3,2021-07-23 07:57:35,"안녕하세요. 박윤성님, 불릴레오입니다. 고객님의 소중한 의견 감사드립니다. 말씀주신 부분은 유관부서에서 점검하여 보다 나은 앱 서비스를 제공드릴 수 있도록 개선해 나가겠습니다. 더불어 고객님의 투자가 성공적인 도전이 될 수 있도록 최선을 다해 서포트하는 불릴레오가 되도록 하겠습니다. 감사합니다. 팀 불릴레오 드림."
80a0b2d7-6517-40ec-8940-f7c2266b626f,가입해 쓰고있는데 어느순간부터 이유없이 실행하고 2-3초 지나면 자동 종료되는 버그가있습니다. 거의 2주째 사용을 못하고 있네요. 수정좀 해주세요,2,2020-04-25 11:40:42,안녕하세요. Hyo Hee Lee님 불릴레오입니다. 이용에 불편을 드려 죄송합니다. 해당 오류 개선과 원활한 서비스 제공을 위해 support@boolileo.com로 성함과 연락처를 기재하여 문의주시면 원인파악 후 빠른 오류해결 도와드리도록 하겠습니다. 감사합니다. 팀 불릴레오 드림.
091dc717-df2a-4459-8654-6d64c1885dfa,만족하며 사용중입니다. 일단 편하다는 점이 가장 좋습니다. 신경쓰지 않아도 알아서 리밸런싱까지 되니 넘 좋아요. 꾸준히 이용하고 싶습니다.,5,2021-02-18 10:43:21,"안녕하세요. ara ko님, 불릴레오입니다. 고객님의 소중한 의견 감사드립니다. 최고의 시나리오와 투자전략들을 통해 다양한 투자기회를 제공해드리도록 노력하겠습니다. 더불어 고객님의 투자가 성공적인 도전이 될 수 있도록 최선을 다해 서포트하는 불릴레오가 되도록 하겠습니다. 감사합니다. 팀 불릴레오 드림."
1bc8710f-df4e-444a-bfb7-f784b25056c9,"한국투자 외화인출 프로세스 개선이 필요해보입니다. QnA보면 전화만하면 되는줄 알았는데, 무조건 지점방문해서 본인이 이체계좌등록 해야하더군요. 시간+코로나 시국에 여간 번거로운게 아닙니다. 꼭 개선 바랍니다.",5,2020-12-24 12:37:07,"안녕하세요. DongYeon Jo님, 불릴레오입니다. 우선 이용에 불편을 드리게 되어 죄송합니다. FAQ에 보다 상세한 내용을 기록하여 혼선이 없으시도록 개선하겠습니다. 한편 외화를 직접 이체하시는 업무는 해당 증권사 정책 및 제도 상의 이유로 외화 이체약정 서비스가 신청되지 않은 경우에는 불가능하며 불릴레오에서 임의로 정책 변경 및 개선을 할 수 없는 점 양해 부탁드리겠습니다. 보다 나은 서비스로 보답드릴 수 있는 불릴레오가 되도록 노력하겠습니다. 감사합니다. 팀 불릴레오 드림."
f0315add-57d3-46c9-a031-01b67635cdfc,"너무 잘 쓰고있습니다^^ 혹시 투자한 시나리별로 수익이 몇%났는지 표시해 줄 수 없나요? 시나리오별, 그리고 ETF별로도 세분화해서 수익률을 알 수 있으면 좋을것 같습니다. 그러면 더욱 꼼꼼히 체크하며 장기투자에 도움이 될 것 같아요. 불리오 처럼요.",5,2020-01-23 07:37:39,"안녕하세요,  Chi Hyeok In 님. 불릴레오 입니다. 소중한 의견 감사드립니다. 피드백 주신 부분들 꼭 반영하여 보여드릴 수 있도록 하겠습니다. 감사합니다. 팀 불릴레오 드림."
2aaad565-cec6-40f5-84fc-ad89bb35d020,"계좌가 안만들어줘요 이유가 뭔가요? 비대면 실명확인 계좌개설이 불가능하오니, 가까운 영업점을 방문하여 주시기바랍니다.(금융거래목적확인대상고객) 얼마전에 카카오증권 가입해서 그런가요?",5,2022-01-28 16:04:57,"안녕하세요. 물범님, 불릴레오입니다. 최근 입, 출금이 가능한 계좌를 금융기관 상관없이 개설하신 이력이 있을 경우 추가로 비대면 계좌 개설이 불가능할 수 있습니다. 불릴레오 앱 내 문의하기 메뉴나 support@boolileo.com으로 문의주시면 보다 자세한 내용 안내 도와드리도록 하겠습니다. 더불어 고객님의 투자가 성공적인 도전이 될 수 있도록 최선을 다해 서포트하는 불릴레오가 되도록 하겠습니다. 감사합니다. 팀 불릴레오 드림."
84105574-372a-4791-992c-0482cfda27c9,너무 잘사용하고 있는데.. 갑자기 비밀번호 설정하라고 본인인증 들어가는데 본인인증에서 키보드가 안생겨서 본인인증 못하고있어요 삭제했다 다시깔아도 똑같네요.. 해결방법좀 알려주세요,5,2021-11-26 08:46:44,"안녕하세요. 구르미마이노님, 불릴레오입니다. 우선 이용에 불편을 드려 죄송합니다. OS 환경에 따라 간혹 해당 현상이 발생되는 경우가 있습니다. 현재 유관부서에서 점검 중에 있으며 support@boolileo.com으로 사용하시는 기기와 OS 종류 및 버전을 기재해 주시면 감사드리겠습니다. 팀 불릴레오 드림."
0304c829-8183-4313-bdbd-030cb9a04125,엄청 친절하고 좋더라고요.. 수수료도 적은데 투자 전략 설명도 간결하고 이해하기 쉬워요,5,2021-08-30 01:57:26,"안녕하세요. 최원선님, 불릴레오입니다. 고객님의 소중한 의견 감사드립니다. 최고의 시나리오와 투자전략들을 통해 다양한 투자기회를 제공해드리도록 노력하겠습니다. 더불어 고객님의 투자가 성공적인 도전이 될 수 있도록 최선을 다해 서포트하는 불릴레오가 되도록 하겠습니다. 감사합니다. 팀 불릴레오 드림."
c492bf5d-f5e6-451c-81f5-54b0bf78ff4d,21년 4월부터 시작했는데요.. 현재 수익률 15%로 만족하고 있습니다. 개인적인 관점의 개선점으로는 리밸런싱 요청시 투자자가 수락을해야하는 시스템이 있는데요. 해외종목을 투자하기에 약 이틀정도의 시간차가 발생되는것 같습니다. 전적으로 신뢰할경우 위임식으로 무조건 수락을 하던지 해서 종목변환이 필요할때 더 빠르게 할수있다면 투자자나 업체입장에서나 서로 좋지 않을까 생각합니다.,5,2021-11-24 16:39:53,"안녕하세요. k s님, 불릴레오입니다. 고객님의 소중한 의견 감사드립니다. 최고의 시나리오와 투자전략들을 통해 다양한 투자기회를 제공해드리도록 노력하겠습니다. 더불어 고객님의 투자가 성공적인 도전이 될 수 있도록 최선을 다해 서포트하는 불릴레오가 되도록 하겠습니다. 감사합니다. 팀 불릴레오 드림."
